0;1
2;1
3;0
4;1
4;2
4;0
5;4
5;1
5;0
6;3
6;0
6;2
7;3
7;6
7;0
8;2
8;1
8;4
9;1
9;2
9;8
10;4
10;5
10;8
11;3
11;7
11;0
12;9
12;2
12;8
13;8
13;12
13;9
14;0
14;5
14;11
15;9
15;13
15;2
16;9
16;13
16;8
17;4
17;2
17;1
18;15
18;9
18;2
19;18
19;2
19;9
20;9
20;18
20;16
21;13
21;16
21;12
22;6
22;7
22;2
23;21
23;16
23;13
24;9
24;16
24;19
25;10
25;5
25;8
26;12
26;13
26;21
27;6
27;3
27;22
28;9
28;18
28;21
29;0
29;6
29;14
30;9
30;2
30;12
31;27
31;3
31;6
32;30
32;12
32;2
33;5
33;10
33;0
34;31
34;6
34;3
35;32
35;2
35;12
36;30
36;12
36;2
37;27
37;31
37;22
38;20
38;18
38;16
39;1
39;2
39;8
40;35
40;32
40;2
41;31
41;3
41;6
42;1
42;31
42;5
43;34
43;3
43;31
44;9
44;15
44;1
45;14
45;29
45;11
46;13
46;16
46;26
47;40
47;2
47;44
48;33
48;0
48;10
49;41
49;6
49;31
50;44
50;9
50;1
51;26
51;21
51;13
52;49
52;31
52;41
53;24
53;19
53;9
54;42
54;1
54;5
55;19
55;53
55;2
56;41
56;49
56;3
57;28
57;21
57;9
58;15
58;13
58;44
59;20
59;48
59;9
60;9
60;2
60;20
61;8
61;2
61;9
62;56
62;41
62;3
63;49
63;6
63;56
64;6
64;29
64;2
65;20
65;59
65;9
66;23
66;21
66;16
67;10
67;4
67;8
68;25
68;8
68;10
69;4
69;67
69;2
70;50
70;44
70;1
71;10
71;67
71;5
72;45
72;11
72;29
73;8
73;39
73;46
74;52
74;49
74;31
75;56
75;3
75;41
76;69
76;4
76;67
77;51
77;21
77;26
78;7
78;0
78;11
79;77
79;51
79;21
80;7
80;78
80;0
81;12
81;35
81;8
82;76
82;69
82;4
83;7
83;80
83;6
84;42
84;31
84;5
85;39
85;6
85;2
86;24
86;9
86;16
87;20
87;16
87;18
88;6
88;0
88;7
89;40
89;32
89;2
90;73
90;46
90;39
91;54
91;42
91;1
92;15
92;9
92;58
93;75
93;3
93;56
94;52
94;41
94;49
95;70
95;50
95;44
96;23
96;16
96;13
97;76
97;69
97;67
98;87
98;18
98;20
99;55
99;19
99;53
100;99
100;53
100;19
101;98
101;88
101;87
102;21
102;51
102;66
103;44
103;95
103;15
104;54
104;91
104;42
105;21
105;16
105;57
106;11
106;3
106;7
107;61
107;2
107;9
108;86
108;24
108;9
109;85
109;2
109;6
110;39
110;90
110;85
111;79
111;77
111;21
112;11
112;3
112;106
113;4
113;5
113;0
114;76
114;82
114;4
115;14
115;5
115;11
116;46
116;26
116;13
117;50
117;44
117;1
118;89
118;2
118;32
119;108
119;86
119;24
120;85
120;2
120;39
121;88
121;0
121;101
122;92
122;9
122;15
123;114
123;4
123;82
124;104
124;54
124;91
125;7
125;11
125;78
126;97
126;69
126;67
127;120
127;85
127;2
128;68
128;8
128;10
129;29
129;64
129;45
130;62
130;56
130;41
131;89
131;2
131;118
132;9
132;20
132;122
133;114
133;76
133;4
134;39
134;110
134;1
135;4
135;17
135;0
136;3
136;31
136;112
137;47
137;2
137;44
138;67
138;10
138;69
139;1
139;5
139;70
140;47
140;40
140;2
141;6
141;31
141;27
142;6
142;49
142;141
143;17
143;135
143;2
144;139
144;1
144;70
145;57
145;9
145;105
146;85
146;120
146;127
147;26
147;77
147;116
148;110
148;90
148;134
149;65
149;20
149;59
150;124
150;91
150;118
151;0
151;14
151;121
152;94
152;41
152;49
153;96
153;23
153;13
154;39
154;134
154;120
155;85
155;109
155;110
156;11
156;72
156;7
157;17
157;135
157;143
158;76
158;69
158;67
159;136
159;31
159;44
160;26
160;21
160;12
161;66
161;16
161;23
162;21
162;77
162;111
163;67
163;76
163;97
164;33
164;0
164;5
165;133
165;4
165;3
166;81
166;35
166;12
167;151
167;0
167;121
168;90
168;110
168;39
169;40
169;140
169;89
170;83
170;80
170;7
171;116
171;26
171;46
172;17
172;143
172;135
173;108
173;86
173;119
174;87
174;98
174;20
175;84
175;42
175;31
176;2
176;47
176;55
177;172
177;17
177;135
178;49
178;152
178;63
179;133
179;101
179;114
180;83
180;7
180;6
181;43
181;34
181;31
182;156
182;7
182;11
183;137
183;2
183;44
184;99
184;100
184;53
185;158
185;76
185;69
186;90
186;110
186;39
187;73
187;8
187;39
188;43
188;181
188;31
189;151
189;167
189;121
190;88
190;121
190;7
191;152
191;94
191;49
192;183
192;44
192;137
193;116
193;143
193;171
194;107
194;9
194;2
195;132
195;122
195;20
196;31
196;181
196;159
197;23
197;96
197;153
198;105
198;57
198;21
199;146
199;127
199;85
200;164
200;0
200;33
201;75
201;41
201;93
202;198
202;57
202;105
203;110
203;39
203;186
204;70
204;50
204;1
205;75
205;93
205;201
206;101
206;88
206;98
207;42
207;54
207;84
208;140
208;40
208;169
209;127
209;146
209;199
210;38
210;16
210;18
211;97
211;67
211;163
212;176
212;55
212;2
213;15
213;44
213;13
214;101
214;179
214;88
215;171
215;26
215;193
216;178
216;63
216;152
217;71
217;67
217;5
218;78
218;0
218;80
219;214
219;88
219;179
220;199
220;146
220;127
221;19
221;9
221;18
222;85
222;127
222;6
223;15
223;58
223;9
224;3
224;11
224;106
225;223
225;58
225;15
226;3
226;0
226;112
227;177
227;172
227;135
228;200
228;164
228;0
229;201
229;205
229;41
230;51
230;79
230;77
231;158
231;185
231;76
232;63
232;6
232;49
233;7
233;80
233;78
234;84
234;175
234;42
235;56
235;130
235;93
236;33
236;10
236;5
237;197
237;153
237;23
238;220
238;146
238;199
239;191
239;49
239;152
240;98
240;87
240;20
241;183
241;2
241;44
242;123
242;82
242;114
243;61
243;8
243;49
244;118
244;150
244;2
245;139
245;1
245;70
246;205
246;201
246;93
247;165
247;4
247;133
248;98
248;174
248;101
249;1
249;50
249;0
250;225
250;15
250;58
251;168
251;110
251;39
252;189
252;151
252;121
253;70
253;44
253;139
254;80
254;233
254;170
255;86
255;119
255;16
256;195
256;20
256;132
257;126
257;67
257;69
258;9
258;221
258;59
259;44
259;241
259;50
260;209
260;127
260;199
261;93
261;56
261;201
262;151
262;121
262;252
263;71
263;10
263;67
264;261
264;93
264;56
265;224
265;11
265;106
266;120
266;2
266;146
267;47
267;176
267;40
268;32
268;135
268;12
269;42
269;1
269;54
270;214
270;88
270;101
271;84
271;175
271;234
272;211
272;97
272;163
273;113
273;0
273;5
274;250
274;15
274;225
275;274
275;108
275;250
276;225
276;223
