Network Property,Algorithm,Algorithm Metric,Correlation (r)
Average Clustering Coefficient,Rombach,Rombach_core_percentage,-0.425463
Average Clustering Coefficient,Rombach,Rombach_core_density,0.352817
Average Clustering Coefficient,Rombach,Rombach_periphery_density,0.243649
Average Clustering Coefficient,Rombach,Rombach_core_periphery_ratio,-0.061093
Average Clustering Coefficient,LowRankCore,LowRankCore_runtime,0.262851
Average Clustering Coefficient,LowRankCore,LowRankCore_ideal_pattern_match,0.159051
Average Clustering Coefficient,LowRankCore,LowRankCore_core_percentage,-0.205018
Average Clustering Coefficient,LowRankCore,LowRankCore_core_density,0.316558
Average Clustering Coefficient,LowRankCore,LowRankCore_periphery_density,0.207006
Average Clustering Coefficient,LowRankCore,LowRankCore_core_periphery_ratio,0.380203
Modularity,BE,BE_runtime,0.432097
Modularity,BE,BE_ideal_pattern_match,0.599966
Modularity,BE,BE_core_percentage,-0.482577
Modularity,BE,BE_core_density,0.154765
Modularity,BE,BE_periphery_density,-0.698878
Modularity,BE,BE_core_periphery_ratio,0.535558
Modularity,Rombach,Rombach_runtime,0.489150
Modularity,Rombach,Rombach_ideal_pattern_match,0.398093
Modularity,Rombach,Rombach_core_percentage,0.713797
Modularity,Rombach,Rombach_core_density,-0.752456
Modularity,Rombach,Rombach_periphery_density,-0.747978
Modularity,Rombach,Rombach_core_periphery_ratio,0.235107
Modularity,LowRankCore,LowRankCore_runtime,0.550433
Modularity,LowRankCore,LowRankCore_ideal_pattern_match,0.293683
Modularity,LowRankCore,LowRankCore_core_percentage,0.341644
Modularity,LowRankCore,LowRankCore_core_density,-0.662964
Modularity,LowRankCore,LowRankCore_periphery_density,-0.745582
Modularity,LowRankCore,LowRankCore_core_periphery_ratio,0.358021
Num Communities,BE,BE_runtime,0.248481
Num Communities,BE,BE_ideal_pattern_match,0.359521
Num Communities,BE,BE_core_percentage,-0.322416
Num Communities,BE,BE_core_density,-0.335096
Num Communities,BE,BE_periphery_density,-0.598483
Num Communities,BE,BE_core_periphery_ratio,0.072714
Num Communities,Rombach,Rombach_runtime,0.261444
Num Communities,Rombach,Rombach_ideal_pattern_match,0.439055
Num Communities,Rombach,Rombach_core_percentage,0.573595
Num Communities,Rombach,Rombach_core_density,-0.715564
Num Communities,Rombach,Rombach_periphery_density,-0.662551
Num Communities,Rombach,Rombach_core_periphery_ratio,0.541007
Num Communities,LowRankCore,LowRankCore_runtime,0.233992
Num Communities,LowRankCore,LowRankCore_ideal_pattern_match,0.324606
Num Communities,LowRankCore,LowRankCore_core_percentage,0.303195
Num Communities,LowRankCore,LowRankCore_core_density,-0.667841
Num Communities,LowRankCore,LowRankCore_periphery_density,-0.664738
Num Communities,LowRankCore,LowRankCore_core_periphery_ratio,-0.046551
Average Betweenness Centrality (Network),BE,BE_runtime,-0.483556
Average Betweenness Centrality (Network),BE,BE_ideal_pattern_match,-0.657677
Average Betweenness Centrality (Network),BE,BE_core_percentage,0.554028
Average Betweenness Centrality (Network),BE,BE_core_density,-0.134851
Average Betweenness Centrality (Network),BE,BE_periphery_density,0.776009
Average Betweenness Centrality (Network),BE,BE_core_periphery_ratio,-0.558899
Average Betweenness Centrality (Network),Rombach,Rombach_runtime,-0.575477
Average Betweenness Centrality (Network),Rombach,Rombach_ideal_pattern_match,-0.401662
Average Betweenness Centrality (Network),Rombach,Rombach_core_percentage,-0.810647
Average Betweenness Centrality (Network),Rombach,Rombach_core_density,0.875616
Average Betweenness Centrality (Network),Rombach,Rombach_periphery_density,0.845899
Average Betweenness Centrality (Network),Rombach,Rombach_core_periphery_ratio,-0.497188
Average Betweenness Centrality (Network),LowRankCore,LowRankCore_runtime,-0.611667
Average Betweenness Centrality (Network),LowRankCore,LowRankCore_ideal_pattern_match,-0.222795
Average Betweenness Centrality (Network),LowRankCore,LowRankCore_core_percentage,-0.658453
Average Betweenness Centrality (Network),LowRankCore,LowRankCore_core_density,0.853833
Average Betweenness Centrality (Network),LowRankCore,LowRankCore_periphery_density,0.849417
Average Betweenness Centrality (Network),LowRankCore,LowRankCore_core_periphery_ratio,-0.328728
Average Closeness Centrality (Network),BE,BE_runtime,-0.483986
Average Closeness Centrality (Network),BE,BE_ideal_pattern_match,-0.412914
Average Closeness Centrality (Network),BE,BE_core_percentage,0.311240
Average Closeness Centrality (Network),BE,BE_core_density,0.258913
Average Closeness Centrality (Network),BE,BE_periphery_density,0.869984
Average Closeness Centrality (Network),BE,BE_core_periphery_ratio,-0.240306
Average Closeness Centrality (Network),Rombach,Rombach_runtime,-0.520192
Average Closeness Centrality (Network),Rombach,Rombach_ideal_pattern_match,-0.528147
Average Closeness Centrality (Network),Rombach,Rombach_core_percentage,-0.820107
Average Closeness Centrality (Network),Rombach,Rombach_core_density,0.905647
Average Closeness Centrality (Network),Rombach,Rombach_periphery_density,0.875845
Average Closeness Centrality (Network),Rombach,Rombach_core_periphery_ratio,-0.229775
Average Closeness Centrality (Network),LowRankCore,LowRankCore_runtime,-0.525641
Average Closeness Centrality (Network),LowRankCore,LowRankCore_ideal_pattern_match,-0.399415
Average Closeness Centrality (Network),LowRankCore,LowRankCore_core_percentage,-0.243451
Average Closeness Centrality (Network),LowRankCore,LowRankCore_core_density,0.736089
Average Closeness Centrality (Network),LowRankCore,LowRankCore_periphery_density,0.859362
Average Closeness Centrality (Network),LowRankCore,LowRankCore_core_periphery_ratio,-0.074616
