Network,num_runs,Core_Nodes
Karate Club,20,33
Dolphins,20,"Beescratch,Grin,Haecksel,Jet,Kringel,Number1,Patchback,SN100,SN4,SN63,SN9,SN96,Scabs,TR77,Topless,Trigger,Upbang,Web"
Les Miserables,20,Valjean
Football,20,"Nebraska,PennState"
